id,templateId,teamId,actorProfileId,eventType,description,metadata,createdAt
2d479add-c2ac-4006-a1c3-1bf0bc3646c5,b584e88d-4c9d-492e-8b6d-2eefc3a12b37,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-07 20:25:34.18+00
5d0a09c6-6daf-4a07-9990-5db72cc2d393,c2a2b68c-c9be-4316-be26-278065c82e5d,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-10 17:04:58.631+00
b7ff86ca-7fe2-44e0-a856-7fdcd5534bb5,c2a2b68c-c9be-4316-be26-278065c82e5d,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-10 17:18:37.598+00
16e41674-fbee-4a8d-b18e-5ca32389f263,c2a2b68c-c9be-4316-be26-278065c82e5d,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-10 17:26:46.66+00
26754316-1160-496f-bfb9-6b53439060a5,c2a2b68c-c9be-4316-be26-278065c82e5d,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-10 17:26:49.848+00
3fe6baa3-e504-4622-8902-4a1a6c69b03b,c2a2b68c-c9be-4316-be26-278065c82e5d,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-10 17:26:50.311+00
9e6132b0-dd30-4390-a504-8fad6388986d,4ff1a2c4-57ac-4488-83f5-e3daf37bee54,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 2.0 criada a partir da versão 1.0,"{""versionNumber"": 2, ""sourceTemplateId"": ""c2a2b68c-c9be-4316-be26-278065c82e5d""}",2026-07-10 17:33:50.142+00
bc3018c2-e880-4041-aeeb-2e24b79cc4d0,4ff1a2c4-57ac-4488-83f5-e3daf37bee54,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 2}",2026-07-10 17:34:00.152+00
3d92951f-e944-4696-9a79-797aae02426a,4ff1a2c4-57ac-4488-83f5-e3daf37bee54,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 2}",2026-07-10 17:34:00.613+00
b8a58135-d245-4961-8d96-8923a1b6c63e,8eef912d-2687-4464-b051-138c0e1ffd32,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-10 17:37:20.434+00
a6ea4aa4-e3e9-4313-bf26-2f3f69cba536,8eef912d-2687-4464-b051-138c0e1ffd32,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-10 17:37:23.585+00
2cdabaf2-3b19-4e6f-9f08-87c724f8202e,8eef912d-2687-4464-b051-138c0e1ffd32,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-10 17:37:23.83+00
